method,nb_threads,migration,average_time,min_blocks,max_blocks
cyclic,1,0,1.080611,,
cyclic,2,0,0.785145,,
cyclic,4,0,0.394301,,
cyclic,8,0,1.104407,,
cyclic,16,0,1.301088,,
cyclic,32,0,1.491814,,
cyclic,64,0,2.117740,,
cyclic,128,0,1.805855,,
cyclic,256,0,1.366825,,
cyclic,512,0,1.691847,,
cyclic,1024,0,2.776512,,
cyclic,1,1,0.165931,,
cyclic,2,1,0.448710,,
cyclic,4,1,0.312766,,
cyclic,8,1,0.964170,,
cyclic,16,1,1.344636,,
cyclic,32,1,1.628692,,
cyclic,64,1,1.756834,,
cyclic,128,1,1.506401,,
cyclic,256,1,1.288108,,
cyclic,512,1,1.908324,,
cyclic,1024,1,2.932917,,
block,1,0,1.039652,,
block,2,0,1.150341,,
block,4,0,0.777408,,
block,8,0,0.575502,,
block,16,0,0.162807,,
block,32,0,0.154548,,
block,64,0,0.127822,,
block,128,0,0.073687,,
block,256,0,0.732053,,
block,512,0,0.889886,,
block,1024,0,0.350668,,
block,1,1,0.132371,,
block,2,1,0.125740,,
block,4,1,0.090244,,
block,8,1,0.070776,,
block,16,1,0.084077,,
block,32,1,0.079132,,
block,64,1,0.094638,,
block,128,1,0.112674,,
block,256,1,0.077823,,
block,512,1,0.070939,,
block,1024,1,0.073603,,
farming,1,0,0.072291,48829,48829
farming,2,0,0.044248,24388,24441
farming,4,0,0.041731,12152,12316
farming,8,0,0.076234,4704,6783
farming,16,0,0.069279,1535,6124
farming,32,0,0.203107,1307,1840
farming,64,0,0.078096,0,3279
farming,128,0,0.076414,0,3124
farming,256,0,0.088748,0,6979
farming,512,0,0.161177,0,1043
farming,1024,0,0.096485,0,1358
farming,1,1,0.075992,48829,48829
farming,2,1,0.077179,24151,24678
farming,4,1,0.064769,11510,12787
farming,8,1,0.086617,3611,7832
farming,16,1,0.082365,1373,3842
farming,32,1,0.159843,1265,1893
farming,64,1,0.137294,309,1649
farming,128,1,0.178744,0,2348
farming,256,1,0.088601,0,1808
farming,512,1,0.091689,0,1870
farming,1024,1,0.126388,0,2130


